dataset,method,seed,n_samples,n_context,n_behavior,anomaly_rate,auroc,auprc,nan_rate,runtime_sec,timestamp
arrhythmia,IF,123,452,137,137,0.4615384615384615,0.7786304604486424,0.7499107383568607,0.0,0.1959776878356933,2026-02-02T23:46:43.042121
arrhythmia,IF-concat,123,452,137,137,0.4615384615384615,0.7699724517906337,0.7793857280057752,0.0,0.1551117897033691,2026-02-02T23:46:43.205317
arrhythmia,DIF,123,452,137,137,0.4615384615384615,0.7473435655253836,0.7207555131892324,0.0,1.117713451385498,2026-02-02T23:46:44.332487
arrhythmia,CVAE,123,452,137,137,0.4615384615384615,0.7682014954742228,0.7537833583522003,0.0,1.0968384742736816,2026-02-02T23:46:45.439761
arrhythmia,CWAE-MMD-IF,123,452,137,137,0.4615384615384615,0.786107831562377,0.7820141882782781,0.0,1.8989510536193848,2026-02-02T23:46:47.349866
arrhythmia,CWAE-MMD-CRPS,123,452,137,137,0.4615384615384615,0.7697756788665879,0.7563302007791215,0.0,1.815757751464844,2026-02-02T23:46:49.175175
arrhythmia,CWAE-MMD-Huber,123,452,137,137,0.4615384615384615,0.7807949626131445,0.7752237184980685,0.0,1.9054536819458008,2026-02-02T23:46:51.090806
arrhythmia,CWAE-MMD-DIF-Dual,123,452,137,137,0.4615384615384615,0.7719401810310901,0.7441953152808779,0.0,3.73248028755188,2026-02-02T23:46:54.833368
arrhythmia,CWAE-MMD-IF-Dual,123,452,137,137,0.4615384615384615,0.7833530106257379,0.7814875067652294,0.0,1.9808294773101809,2026-02-02T23:46:56.828088
arrhythmia,CWAE-MMD-IF-Latent,123,452,137,137,0.4615384615384615,0.6889020070838253,0.650725777690417,0.0,1.6382527351379397,2026-02-02T23:46:58.476282
arrhythmia,IF,456,452,137,137,0.4615384615384615,0.7644628099173554,0.7349992784800983,0.0,0.1994495391845703,2026-02-02T23:46:58.684508
arrhythmia,IF-concat,456,452,137,137,0.4615384615384615,0.7689885871704054,0.7502420863533898,0.0,0.1637241840362548,2026-02-02T23:46:58.855749
arrhythmia,DIF,456,452,137,137,0.4615384615384615,0.748917748917749,0.6883954104233426,0.0,1.1537256240844729,2026-02-02T23:47:00.019157
arrhythmia,CVAE,456,452,137,137,0.4615384615384615,0.7711530893349076,0.7434348148761509,0.0,1.1365675926208496,2026-02-02T23:47:01.166565
arrhythmia,CWAE-MMD-IF,456,452,137,137,0.4615384615384615,0.7780401416765054,0.757144259531874,0.0,1.6596286296844482,2026-02-02T23:47:02.835475
arrhythmia,CWAE-MMD-CRPS,456,452,137,137,0.4615384615384615,0.7727272727272727,0.7511102813705197,0.0,1.7982208728790283,2026-02-02T23:47:04.643332
arrhythmia,CWAE-MMD-Huber,456,452,137,137,0.4615384615384615,0.7839433293978749,0.7478730745520848,0.0,1.850163459777832,2026-02-02T23:47:06.502847
arrhythmia,CWAE-MMD-DIF-Dual,456,452,137,137,0.4615384615384615,0.7518693427784336,0.7163013836156166,0.0,3.776144027709961,2026-02-02T23:47:10.287959
